ɂ́ɟɀʇɽʃ,Hîsyêô,Meaning,Verb,Noun,Modifier,Frequentative,Type,Kokanu,I,Origin,Origin IPA,Family,Word Ref,Group,/a/,/o/,/ə/,/u/,/ɪ/,/i/,/ɛ/,/e/,Syllabary,Actual IPA,Length,Rank
ɔ̃ʄꞇɟɽ̃ɿ,kûncîen,room,to be a room/chamber,room/chamber,room/chamber-related,,Noun,,k,Mandarin 空間 kōngjiān,/kʰʊŋ.tɕjɛn/,Sino-Tibetan,kûncîen,Architecture 201: Elementary Structures I,0,0,0,1,0,1,1,0,kûncîbn,/ˈkun.t͡ɕi.ɛn/,7,10.08.21.13.06
ɔ̃ʄʋɟ,kûnbî,scene/stage,to be a scene/stage,scene/stage,scene/stage-related,,Noun,,k,Swahili kumbi,/kum.bi/,Niger-Congo,kûnbî,Tools 101: Arts,0,0,0,1,0,1,0,0,kûnbî,/ˈkun.bi/,5,10.08.21.18.06
ɔʄʓʄƨ̃ʃ,kûlûnun,cage/kennel/jail/cell,to be a cage/kennel/jail/cell,cage/kennel/jail/cell,cage/kennel/jail/cell-related,,Noun,,k,Tagalog ᜃᜓᜎᜓᜅᜈ᜔ kúlúngan,[ˌkuˈlu.ŋɐn],Austronesian,kûlûnun,Architecture 202: Elementary Structures II,0,0,1,2,0,0,0,0,kûlûnrn,/ˈku.lu.nʌn/,7,10.08.23.08.21
ɔ͊ʄʌʄ,kûldû,wheel,to be a wheel,wheel,wheel-related,,Noun,,k,Mongolian ᠬᠦᠷᠳᠦ kürdü,,Mongolic,kûldû,Tools 102: Elementary Objects I,0,0,0,2,0,0,0,0,kûldû,/ˈkul.du/,5,10.08.23.16.08
ɔʄɀı,kûyô,sad,to be sad,sadness,sad,,Adjective,kujo,k,Dholuo kuyo,,Nilo-Saharan,kûyô,Emotion 101: Fundamental Emotions I,0,1,0,1,0,0,0,0,kûyô,/ˈku.jo/,4,10.08.24.02.00
ꜿ́,gos,plant,to be a plant,plant,plant-related,,Noun,ukama,g,Dhivehi ގަސް gas,[ɡäs̺],Indo-Iranian,gos,Biology 101: Plants,1,0,0,0,0,0,0,0,gas,/ˈgɑs/,3,11.01.14.00.00
ꜿɐ͊ɟ,gosîl,short,to be short/low,shortness/lowness,short/low,,Adjective,kuto,g,"Arabic, Hijazi قصير gaṣīr",/ɡa.sˤiːr/,Afroasiatic,gosîl,Anatomy 302: Anatomical Properties II,1,0,0,0,0,1,0,0,gasîl,/ˈgɑ.sil/,5,11.01.14.06.23
ꜿƶɟ,gomî,to take (the taken),to take/retrieve,the taken,takeable,to amass/gather,Verb,alu,g,Evenki гамӣ gamī,/ɡamiː/,Tungusic,gomî,Tools 201: Intermediate Objects I,1,0,0,0,0,1,0,0,gamî,/ˈgɑ.mi/,4,11.01.20.06.00
ꜿƨɟɐ,gonîso,to think (a thought/opinion),to think,a thought/opinion,thinkable/opinable,to be thoughtful,Verb,kanisa,g,Chichewa -ganiza,/ɡaˈni.za/,Niger-Congo,gonîso,Language 201: Language & Mind,2,0,0,0,0,1,0,0,ganîsa,/ˈgɑ.ni.sɑ/,6,11.01.21.06.14
ꜿ̃ꜿɋɟ,gongoxî,alarm,to be an alarm,alarm,alarm-related,,Noun,,g,Georgian განგაში gangaši,[ɡ̊aŋɡaʃi],Kartvelian,gongoxî,Phenomenology 202: Fundamental Senses II,2,0,0,0,0,1,0,0,gangaxî,/ˈgɑn.gɑ.ʃi/,7,11.01.21.11.01
ꜿ̃ⱴ͊ɟ,gonzîl,strange,to be strange/weird/abnormal,strangeness/weirdness/abnormality,strange/weird/abnormal,,Adjective,kikuwa,g,Malay ݢنجيل‎ ganjil,/ɡand͡ʒil/,Austronesian,gonzîl,Sociology 101: Basic Concepts I,1,0,0,0,0,1,0,0,ganzîl,/ˈgɑn.d͡ʒil/,6,11.01.21.17.06
ꜿ̃ʋʃ,gonbu,leg,to be a leg,leg,leg-related,,Noun,picijo,g,Romanian gambă,/ˈɡam.bə/,Romance,gonbu,Anatomy 202: Basic Anatomy II,1,0,1,0,0,0,0,0,ganbr,/ˈgɑn.bʌ/,5,11.01.21.18.07
ꜿʓ,golo,to read (a document),to read,a document,readable,to study,Verb,pata,g,"Arabic, Hijazi قرا gara",/ɡara/,Afroasiatic,golo,Communication 102: Basic Communication I,2,0,0,0,0,0,0,0,gala,/ˈgɑ.lɑ/,4,11.01.23.01.00
ꜿʓ̃ʃ,golun,to respect (the respected),to respect,the respected,respectable,to be respectful,Verb,kalan,g,Tagalog galang,[ˈɡa.lɐŋ],Austronesian,golun,Sociology 101: Basic Concepts I,1,0,1,0,0,0,0,0,galrn,/ˈgɑ.lʌn/,5,11.01.23.07.21
ꜿ͊ʋȷƨ́ʄ,golbinûs,chartreuse,to be chartreuse,chartreuse-ness,chartreuse,,Adjective,,g,Latin galbinus,[ˈɡäɫ̪bɪnʊs̠],Romance,golbinûs,Color 303: Tertiary Colors,1,0,0,1,1,0,0,0,galbinûs,/ˈgɑl.bɪ.nus/,8,11.01.23.18.05
ꜿ͊ɤ̃,golfon,disgusted,to be disgusted,disgust,disgusted,,Adjective,kapan,g,"Arabic, Hijazi قرفان garfān",/ɡarfaːn/,Afroasiatic,golfon,Emotion 201: Fundamental Emotions II,2,0,0,0,0,0,0,0,galfan,/ˈgɑl.fɑn/,6,11.01.23.19.01
ꜿı,gô,existent,to be/exist,existence,existent,,Adjective,si,g,Songhay goo,,Nilo-Saharan,gô,Geography 101: Basic Geography I,0,1,0,0,0,0,0,0,gô,/ˈgo/,2,11.02.00.00.00
ꜿıꞇɟʌ̃,gôcîdon,to choose (a choice),to choose,a choice/decision,choosable,,Verb,cakuwa,g,Persian گزیدن gozidan,[ɡ̥o.ziː.d̪ǽn],Indo-Iranian,gôcîdon,Evaluation 101: Basic Evaluations I,1,1,0,0,0,1,0,0,gôcîdan,/ˈgo.t͡ɕi.dɑn/,7,11.02.13.06.16
ꜿ̃ıɀʃƶ̃,gônyumon,grunting/growling,to be grunting/growling,gruntiness/growliness,grunting/growling,,Adjective,,g,French grognement,/ɡʁɔ.ɲ(ə).mɑ̃/,Romance,gônyumon,Phenomenology 202: Fundamental Senses II,1,1,1,0,0,0,0,0,gônyrman,/ˈgon.jʌ.mɑn/,8,11.02.21.24.07
ꜿıʒ,gôwo,foolish/obtuse,to be foolish/obtuse,foolishness/obtuseness,foolish/obtuse,,Adjective,,g,Oromo gowwaa,/gɔwːɑː/,Afroasiatic,gôwo,Emotion 202: Adjacent Concepts,1,1,0,0,0,0,0,0,gôwa,/ˈgo.wɑ/,4,11.02.22.01.00
ꜿıʓʄɽ,gôlûo,melted,to be melted/liquefied,meltedness/liquefiedness,melted/liquefied,,Adjective,,g,Assamese গলোৱা golüa,/ɡɔ.lʊa/,Indo-Iranian,gôlûo,Properties 201: Physical Properties I,1,1,0,1,0,0,0,0,gôlûa,/ˈgo.lu.ɑ/,5,11.02.23.08.01
ꜿıɀʃ,gôyu,mouth,to be a mouth,mouth,mouth-related,-,Noun,muku,g,Albanian gojë,/ˈɡojə/,Albanian,gôyu,Anatomy 203: Basic Anatomy III,0,1,1,0,0,0,0,0,gôyr,/ˈgo.jʌ/,4,11.02.24.07.00
ꜿɿƶʓ̃ɿ,gemolen,milled/ground/crushed,to be milled/ground/crushed,milledness/groundness/crushedness,milled/ground/crushed,,Adjective,,g,German gemahlen,,Germanic,gemolen,Materials 201: Material Properties,1,0,0,0,0,0,2,0,gbmalbn,/gɛ.ˈmɑ.lɛn/,7,11.03.20.01.23
ꜿ͊ɿƶ́ȷ,gelmis,stretched,to be stretched,stretchedness,stretched,,Adjective,,g,Turkish germiş,[gɛlmɪʃ],Turkic,gelmis,Properties 201: Physical Properties I,0,0,0,0,1,0,1,0,gblmis,/ˈgɛl.mɪs/,6,11.03.23.20.05
ꜿʇɔı,gêkô,soil/dirt,to be soil/dirt,soil/dirt,soil/dirt-related,,Noun,,g,Kikuyu gĩko,[ɣekɔ],Niger-Congo,gêkô,Materials 301: Intermediate Materials,0,1,0,0,0,0,0,1,gêkô,/ˈge.ko/,4,11.04.10.02.00
ꜿ̆ȷƨ,gitno,intermediate marker (between),-,-,-,,Preposition,,g,Tagalog gitna,[ɡɪtˈnaʔ],Austronesian,gitno,Grammar 203: Prepositions III,1,0,0,0,1,0,0,0,gitna,/ˈgɪt.nɑ/,5,11.05.12.21.01
ꜿ̑ɟ,gîk,arriving,to be arriving/reaching,arriving-ness/reaching-ness,arriving/reaching,,Adjective,,g,Dholuo gik,/gik/,Nilo-Saharan,gîk,Phenomenology 201: Fundamental Motion II,0,0,0,0,0,1,0,0,gîk,/ˈgik/,3,11.06.10.00.00
ꜿɟc,gîto,line,to be a line,line,line-related,,Noun,laki,g,Telugu గీత gīta,/giː.ta/,Dravidian,gîto,Architecture 101: 2D Geometry,1,0,0,0,0,1,0,0,gîta,/ˈgi.tɑ/,4,11.06.12.01.00
ꜿ́ɟꜿ͊ʄ,gîsgûl,step/rung,to be a step/rung/pedal,step/rung/pedal,step/rung/pedal-related,,Noun,,g,Mongolian гишгүүр gišgüür,[giʃguːr],Mongolic,gîsgûl,Architecture 202: Elementary Structures II,0,0,0,1,0,1,0,0,gîsgûl,/ˈgis.gul/,6,11.06.14.11.08
ꜿʃɤ́ȷ,gufis,certain,to be certain/sure,certainty/sureness,certain/sure,,Adjective,,g,German gewiss,/ɡəˈvɪs/,Germanic,gufis,Emotion 202: Adjacent Concepts,0,0,1,0,1,0,0,0,grfis,/ˈgʌ.fɪs/,5,11.07.19.05.14
ꜿʃɤʃɀ,gufuyo,shop/market,to be a shop/market,shop/market,shop/market-related,,Noun,kapaja,g,Amharic ገበያ gäbäya,[gəβ̞əja],Afroasiatic,gufuyo,Architecture 201: Elementary Structures I,1,0,2,0,0,0,0,0,grfrya,/ˈgʌ.fʌ.jɑ/,6,11.07.19.07.24
ꜿ̃ʃʌʓʇ,gundolê,sphere,to be a sphere,sphere,sphere-related/spherical,,Noun,kiju,g,Pashto غونډاری‎ ghunddarai,/ɣun.ɖɑ.rai/,Indo-Iranian,gundolê,Architecture 102: 3D Geometry,1,0,1,0,0,0,0,1,grndalê,/gʌn.ˈdɑ.le/,7,11.07.21.16.01
ꜿʄɽɿɋ,gûexo,war,to be a war,war,war-related,,Noun,,g,Sicilian guerra,[ˈɡwɛʐːa],Romance,gûexo,Sociology 303: Politics II,1,0,0,1,0,0,1,0,gûbxa,/ˈgu.ɛ.ʃɑ/,5,11.08.03.15.01
ꜿʄɽʇɀʄ,gûêyû,eye,to be an eye,eye,eye-related,,Noun,,g,Asturian güeyu,[ˈɡwe.ʝu],Romance,gûêyû,Anatomy 203: Basic Anatomy III,0,0,0,2,0,0,0,1,gûêyû,/ˈgu.e.ju/,5,11.08.04.24.08
ꜿʄɐ,gûso,angry,to be angry,anger/rage,angry,,Adjective,kusa,g,Hindi ग़ुस्सा ġussā,[ɡʊs̪.s̪äː],Indo-Iranian,gûso,Emotion 101: Fundamental Emotions I,1,0,0,1,0,0,0,0,gûsa,/ˈgu.sɑ/,4,11.08.14.01.00
ꜿʄʌʓı,gûdolô,bow (weapon)/bow (music),to be a bow,bow,bow-related,,Noun,,g,Serbo-Croatian гу̀дало gùdalo,/ɡǔdalo/,Balto-Slavic,gûdolô,Tools 302: Advanced Objects II,1,1,0,1,0,0,0,0,gûdalô,/ˈgu.dɑ.lo/,6,11.08.16.01.23
ꜿʄɤɋʇ,gûfoxê,irony/sarcasm,to be an irony/sarcasm,irony/sarcasm,irony/sarcasm-related,,Noun,,g,Persian گواژه‎ govâže,[guːvɒːʒe],Indo-Iranian,gûfoxê,Tools 101: Arts,1,0,0,1,0,0,0,1,gûfaxê,/ˈgu.fɑ.ʃe/,6,11.08.19.01.15
ꜿʄɤɟɽı,gûfîô,to push (the pushed/repelled),to push/repel,the pushed/repelled,pushable/repellable,to be reppelent,Verb,,g,Welsh gwthio,/ˈɡʊθjɔ/,Celtic,gûfîô,Phenomenology 201: Fundamental Motion II,0,1,0,1,0,1,0,0,gûfîô,/ˈgu.fi.o/,5,11.08.19.06.02
ꜿʄƶɟ,gûmî,rubber,to be (a) rubber,rubbber,rubber-related,,Noun,kumi,g,German Gummi,/ˈɡʊmi/,Germanic,gûmî,Materials 301: Intermediate Materials,0,0,0,1,0,1,0,0,gûmî,/ˈgu.mi/,4,11.08.20.06.00
ꜿʄƨɔ͊,gûnokol,criminal,to be criminal,criminality,criminal,,Adjective,,g,Persian ⁧گناهکار⁩ gonâhkâr,[ɡʊ.nɑːɦ.kʰɑ́ːɾ],Indo-Iranian,gûnokol,Sociology 203: Intermediate Concepts II,2,0,0,1,0,0,0,0,gûnakal,/ˈgu.nɑ.kɑl/,7,11.08.21.01.10
ꜿʄʒʓ,gûwolo,to scratch (the scratched),to scratch/scrape,the scratched/scraped,scratchable/scrapable,,Verb,,g,Yegang gwaaraǃ,,Nilo-Saharan,gûwolo,Phenomenology 302: Intermediate Motion II,2,0,0,1,0,0,0,0,gûwala,/ˈgu.wɑ.lɑ/,6,11.08.22.01.23
ꜿʄʓʋɟ,gûlobî,pink,to be pink,pink,pink-related,,Adjective,,g,Kannada ಗುಲಾಬಿ gulābi,/ɡulaːbi/,Dravidian,gûlobî,Color 303: Tertiary Colors,1,0,0,1,0,1,0,0,gûlabî,/ˈgu.lɑ.bi/,6,11.08.23.01.18
ꜿʄʓʄ,gûlû,wound/injury,to be a wound/injury,wound/injry,wound/injury-related,,Noun,,g,Songhay guuru,[guːɾu],Nilo-Saharan,gûlû,Anatomy 204: Intermediate Anatomy I,0,0,0,2,0,0,0,0,gûlû,/ˈgu.lu/,4,11.08.23.08.00
cɽʄ,toû,06 six,to be six,six,sixth,,Numeral,lijo,t,"Hmong, White rau",/ʈau̯˧/,Hmong-Mien,toû,Mathematics 102: Basic Numbers II,1,0,0,1,0,0,0,0,taû,/ˈtɑ.u/,3,12.01.08.00.00
cɽʄɀ̃ɿ,toûyen,to hate (a hated entity),to hate/dislike,a hated thing,hatable/dislikeable,,Verb,tajen,t,Mandarin 討厭 tǎoyàn,/tʰɑʊ̯jɛn/,Sino-Tibetan,toûyen,Emotion 102: Emotive Actions,1,0,0,1,0,0,1,0,taûybn,/ˈtɑ.u.jɛn/,6,12.01.08.24.03
cɂȷʓ̑ı,tohilôk,cone,to be a cone,cone,cone-related,,Noun,takilo,t,Tagalog tagilog,[tɐ.ɣɪˈloɡ],Austronesian,tohilôk,Architecture 102: 3D Geometry,1,1,0,0,1,0,0,0,tahilôk,/ˈtɑ.hɪ.lok/,7,12.01.09.05.23
c̆ɐȷ,totsi,standing,to be standing/vertical,verticality,standing/vertical,,Adjective,inalo,t,Japanese 立つ tatsu,[ta̠t͡sɨᵝ],Japonic,totsi,Properties 301: Advanced Properties,1,0,0,0,1,0,0,0,tatsi,/ˈtɑt.sɪ/,5,12.01.12.14.05
ćʒ͊ɟ,toswîl,to draw (a picture),to draw,a drawing/picture,drawable,,Verb,tasuwi,t,Arabic تَصْوِير taṣwīr,/tasˤ.wiːr/,Afroasiatic,toswîl,Tools 202: Intermediate Objects II,1,0,0,0,0,1,0,0,taswîl,/ˈtɑs.wil/,6,12.01.14.22.06
c̃ʋ̑ꞇ̆ʃ,tonbokcut,protein,to be a protein,a protein,protein-related,,Noun,,t,Hakka 蛋白質 tan4 pag6 zed5,/tʰan.pʰak.tse̞t/,Sino-Tibetan,tonbokcut,Biology 301: Intermediate Biology,2,0,1,0,0,0,0,0,tanbakcrt,/ˈtɑn.bɑk.t͡ɕʌt/,9,12.01.21.18.01
cʒʇ,towê,hair/fur/plumage,to be hair/fur/plumage,hair/fur/plumage,hair/fur/plumage-related,,Noun,tawe,t,Guaraní tague,/ta.ˈɰʷe/,Tupian,towê,Anatomy 101: Basic Anatomy I,1,0,0,0,0,0,0,1,tawê,/ˈtɑ.we/,4,12.01.22.04.00
cʓ̃ʇ,tolên,limb,to be a limb/branch,limb/branch,limb/branch-related,,Noun,ceke,t,Santali tɑren,,Austro-Asiatic,tolên,Anatomy 101: Basic Anatomy I,1,0,0,0,0,0,0,1,talên,/ˈtɑ.len/,5,12.01.23.04.21
cʓȷɀ,toliyo,pasta,to be pasta,pasta,pasta-related,,Noun,,t,Hausa taliya,/ta.lɨ.j̰a/,Afroasiatic,toliyo,Nutrition 202: Cooking,2,0,0,0,1,0,0,0,taliya,/ˈtɑ.lɪ.jɑ/,6,12.01.23.05.24
cʓɟɔ,tolîko,method,to be a method/process,method/process,method/process-related,,Noun,talika,t,Arabic طَرِيقَة ṭarīqa,/tˤa.riː.qa/,Afroasiatic,tolîko,Communication 203: Meta-Concepts I,2,0,0,0,0,1,0,0,talîka,/ˈtɑ.li.kɑ/,6,12.01.23.06.10
c͊ɋʇc,tolxêto,card,to be a card,card,card-related,,Noun,,t,Galician tarxeta,[taɾʃeta],Romance,tolxêto,Tools 102: Elementary Objects I,2,0,0,0,0,0,0,1,talxêta,/ˈtɑl.ʃe.tɑ/,7,12.01.23.15.04
cı,tô,instrument/manner marker (using/with),-,-,-,-,Preposition,wija,t,Telugu తో tō,/toː/,Dravidian,tô,Grammar 104: Prepositions II,0,1,0,0,0,0,0,0,tô,/ˈto/,2,12.02.00.00.00
cıꞇ̆ɟ,tôcît,blunt,to be blunt/dull,bluntness/dullness,blunt/dull,,Adjective,,t,Romanian tocit,/toˈt͡ʃit/,Romance,tôcît,Properties 201: Physical Properties I,0,1,0,0,0,1,0,0,tôcît,/ˈto.t͡ɕit/,5,12.02.13.06.12
cıɋ̆ʄɐȷ,tôxûtsi,bump,to be a protrusion/bulge/bump,a protrusion/bulge/bump,protrusion-like/bulge-like/bump-like,,Noun,,t,Japanese とっしゅつ tosshutsu,[to̞ɕːɯ̟̊ᵝt͡sɨᵝ],Japonic,tôxûtsi,Geography 102: Basic Environment I,0,1,0,1,1,0,0,0,tôxûtsi,/ˈto.ʃut.sɪ/,7,12.02.15.08.12
cıƶ́ı,tômôs,book,to be a tome/book,a tome/book,tome/book-related,,Noun,,t,Greek τόμος tómos,/ˈto.mos/,Hellenic,tômôs,Tools 101: Arts,0,2,0,0,0,0,0,0,tômôs,/ˈto.mos/,5,12.02.20.02.14
c̃ıɔı,tônkô,hurting/suffering,to be hurting/suffering,pain/suffering,hurting/suffering,,Adjective,tonko,t,"Min, Southern 痛苦 thòng-khó͘ ",/tʰɔŋkʰɔ/,Sino-Tibetan,tônkô,Properties 102: Fundamental Properties II,0,2,0,0,0,0,0,0,tônkô,/ˈton.ko/,5,12.02.21.10.02
c͊ıɔɟ,tôlkî,only,to be alone/exclusive,aloneness/exclusiveness,alone/only/exclusively,,Adjective,samo,t,Belarusian то́лькі tólʹki,[ˈtolʲkʲi],Balto-Slavic,tôlkî,Evaluation 101: Basic Evaluations I,0,1,0,0,0,1,0,0,tôlkî,/ˈtol.ki/,5,12.02.23.10.06
cɿc̑ʇ,tetêk,breast/chest,to be a breast/chest,breast/chest,breast/chest-related,,Noun,titi,t,Indonesian tetek ,[ˈt̪ɛt̪ek̚],Austronesian,tetêk,Anatomy 202: Basic Anatomy II,0,0,0,0,0,0,1,1,tbtêk,/ˈtɛ.tek/,5,12.03.12.04.10
c̃ɿɔ̃ɟ,tenkîn,to hear (a sound),to hear,a sound,hearable,,Verb,tenkin,t,Cantonese  聽見 teng gin,/tʰɛːŋ⁵⁵ kiːn³³/,Sino-Tibetan,tenkîn,Phenomenology 102: Fundamental Senses I,0,0,0,0,0,1,1,0,tbnkîn,/ˈtɛn.kin/,6,12.03.21.10.06
cɿʓı,telô,13 thirteen,to be thirteen,thirteen,thirteenth,,Numeral,,t,Hajong তেৰ terô,/'tɛ.ɹɔ/,Indo-Iranian,telô,Mathematics 203: Intermediate Numbers I,0,1,0,0,0,0,1,0,tblô,/ˈtɛ.lo/,4,12.03.23.02.00
cȷꜿɀ,tigoyo,supine,to be supine/reclined,supineness/reclined-ness,supine/reclined,,Adjective,,t,"Bikol, Central tigayà",[tiˈɡa.jaʔ],Austronesian,tigoyo,Anatomy 302: Anatomical Properties II,2,0,0,0,1,0,0,0,tigaya,/tɪ.ˈgɑ.jɑ/,6,12.05.11.01.24
cȷɤ͊ʄꞇȷ,tifûlci,creative,to be creative/inventive/imaginative,creativeness/inventiveness/imaginativeness,creative/inventive/imaginative,,Adjective,,t,Polish twórczy,/ˈtfur.t͡ʂɨ/,Balto-Slavic,tifûlci,Tools 101: Arts,0,0,0,1,2,0,0,0,tifûlci,/tɪ.ˈful.t͡ɕɪ/,7,12.05.19.08.23
cɟɽʄ,tîû,05 five,to be five,five,fifth,,Numeral,lima,t,Coptic ϯⲟⲩ tiou,/tʼiːw/,Afroasiatic,tîû,Mathematics 102: Basic Numbers II,0,0,0,1,0,1,0,0,tîû,/ˈti.u/,3,12.06.08.00.00
cɟɔ͊ʇ,tîkêl,reflected,to be reflected,reflectiveness,reflected,,Adjective,,t,Hungarian tükör,[ˈtykør],Uralic,tîkêl,Materials 201: Material Properties,0,0,0,0,0,1,0,1,tîkêl,/ˈti.kel/,5,12.06.10.04.23
cɟɔʄ,tîkû,dead,to be dead,deadness/death,dead,,Adjective,tiku,t,Yoruba ti kú,/tī/+/kú/,Niger-Congo,tîkû,Anatomy 102: Anatomical Properties I,0,0,0,1,0,1,0,0,tîkû,/ˈti.ku/,4,12.06.10.08.00
cɟc̃,tîton,way/path,to be a way/path,way/path,way/path-related,,Noun,titan,t,Thai ทิศทาง tít-taang,/tʰit̚˦˥.tʰaːŋ˧/,Kra-Dai,tîton,Geography 101: Basic Geography I,1,0,0,0,0,1,0,0,tîtan,/ˈti.tɑn/,5,12.06.12.01.21
cɟɋı,tîxô,threat,to be a threat,threat,threat-related,,Noun,,t,Swahili tisho,/'ti.ʃo/,Niger-Congo,tîxô,Sociology 303: Politics II,0,1,0,0,0,1,0,0,tîxô,/ˈti.ʃo/,4,12.06.15.02.00
cɟƶɟɽ̑,tîmîok,bird,to be a bird,bird,bird-related,,Noun,kuku,t,Greenlandic timmiaq,/timjaq/,Eskaleut,tîmîok,Biology 102: Animals I,1,0,0,0,0,2,0,0,tîmîak,/ˈti.mi.ɑk/,6,12.06.20.06.01
c̑ʃʒ́,tukwos,08 eight,to be eight,eight,eighth,,Numeral,etu,t,Hausa takwàs,[tə́.kʷàs],Afroasiatic,tukwos,Mathematics 102: Basic Numbers II,1,0,1,0,0,0,0,0,trkwas,/ˈtʌk.wɑs/,6,12.07.10.22.01
cʃʋı,tubô,spot/scar,spot/stain/scar,spot/stain/scar,spot/stain/scar-related,,Noun,,t,Hausa tabṑ,[tə́.bòː],Nilo-Saharan,tubô,Anatomy 304: Intermediate Anatomy II,0,1,1,0,0,0,0,0,trbô,/ˈtʌ.bo/,4,12.07.18.02.00
cʃʓʃcȷ,tuluti,to traverse (the traversed),to passthrough/cross/traverse,the crossed/traversed,passed/crossed/traversed,,Verb,,t,Sanskrit तरति tárati,/ˈt̪ɐ.ɾɐ.t̪i/,Indo-Iranian,tuluti,Geography 201: Basic Geography II,0,0,2,0,1,0,0,0,trlrti,/ˈtʌ.lʌ.tɪ/,6,12.07.23.07.12
c͊ʃɔ͊ɀ̃ʃ,tulkolyun,rolling/tumbling,to be rolling/tumbling,rollingness/tumblingness,rolling/tumbling,,Adjective,,t,Bulgarian търка́лям tǎrkáljam,[tɐrˈkalʲɐm],Balto-Slavic,tulkolyun,Phenomenology 201: Fundamental Motion II,1,0,2,0,0,0,0,0,trlkalyrn,/tʌl.ˈkɑl.jʌn/,9,12.07.23.10.01
cʄɽ̑ɿ,tûek,to compute (a computation),to compute/calculate,a computation/calculation,computable/calculatable,,Verb,konpute,t,Burmese တွက် twak,/twɛʔ/,Sino-Tibetan,tûek,Science 102: Elementary Science II,0,0,0,1,0,0,1,0,tûbk,/ˈtu.ɛk/,4,12.08.03.10.00
cʄɽʃ,tûu,to do (an action),to do/perform/execute,an action/task,doable/performable/executable,,Verb,tun,t,Khmer ធ្វើ thvəə,/tʰʋəː/,Austro-Asiatic,tûu,Communication 101: Abstract Fundamentals I,0,0,1,1,0,0,0,0,tûr,/ˈtu.ʌ/,3,12.08.07.00.00
c̆ʄ,tût,hot,to be hot,hotness/heat,hot,,Adjective,tuko,t,Bring Klon tut,[tut],Trans-New Guinea,tût,Anatomy 302: Anatomical Properties II,0,0,0,1,0,0,0,0,tût,/ˈtut/,3,12.08.12.00.00
c̃ʄʌʄ,tûndû,bottom,to be a bottom/lowermost region,bottom/lowermost region,bottom-related,,Noun,,t,Zarma tundu,/'tun.du/,Nilo-Saharan,tûndû,Geography 201: Basic Geography II,0,0,0,2,0,0,0,0,tûndû,/ˈtun.du/,5,12.08.21.16.08
cʄʓɔ̃,tûlokon,to adjudge (judgement),to adjudge/condemn,judgement/condemnation,judgeable/condemnable,,Verb,,t,Thai ตุลาการ dtù-laa-gaan,/tu˨˩.laː˧.kaːn˧/,Kra-Dai,tûlokon,Sociology 203: Intermediate Concepts II,2,0,0,1,0,0,0,0,tûlakan,/ˈtu.lɑ.kɑn/,7,12.08.23.01.10
cʄʓıƨ,tûlôno,comparison,to be a comparison,comparison,comparison-related,,Noun,,t,Bengali তুলনা tulona,[ˈt̪ulonaˑ],Indo-Iranian,tûlôno,Evaluation 302: Advanced Evaluations I,1,1,0,1,0,0,0,0,tûlôna,/ˈtu.lo.nɑ/,6,12.08.23.02.21
ꞇ̑,cok,departing,to be departing/leaving,departing-ness/leaving-ness,departing/leaving,,Adjective,,c,Lao ຈາກ chāk,[t͡ɕaːk̚˥˥˨],Kra-Dai,cok,Phenomenology 201: Fundamental Motion II,1,0,0,0,0,0,0,0,cak,/ˈt͡ɕɑk/,3,13.01.10.00.00
ꞇ̑ʒʓȷ,cokwoli,pyramid,to be a pyramid,a pyramid,pyramid-like,,Noun,,c,Nahuatl tzacualli,/tsakʷalli/,Yuto-Nahuatl,cokwoli,Architecture 102: 3D Geometry,2,0,0,0,1,0,0,0,cakwali,/ˈt͡ɕɑk.wɑ.lɪ/,7,13.01.10.22.01
ꞇ̑ɀ̃ɿ,cokyen,almost,to almost/nearly be,almostness/nearliness,almost/nearly,,Adjective,,c,Mandarin 差點 chàdiǎn,[ʈʂʰatjɛn],Sino-Tibetan,cokyen,Evaluation 301: Worldly Evaluations II,1,0,0,0,0,0,1,0,cakybn,/ˈt͡ɕɑk.jɛn/,6,13.01.10.24.03
ꞇ́ƨɟ,cosnî,private/confidential,to be private/confidential,privateness/confidentiality,private/confidential,,Adjective,,c,Russian ча́стный částnyj,[ˈt͡ɕasnɨj],Balto-Slavic,cosnî,Sociology 203: Intermediate Concepts II,1,0,0,0,0,1,0,0,casnî,/ˈt͡ɕɑs.ni/,5,13.01.14.21.06
ꞇƶ̃ɿ,comen,lawn/meadow,to be a lawn/meadow,lawn/meadow,lawn/meadow-related,,Noun,,c,Persian چمن čaman,[t͡ʃʰä.mǽn],Indo-Iranian,comen,Geography 102: Basic Environment I,1,0,0,0,0,0,1,0,cambn,/ˈt͡ɕɑ.mɛn/,5,13.01.20.03.21
ꞇƨıɽɟ,conôî,beak,to be a beak/bill,beak/bill,beak/bill-related,,Noun,,c,Thai จะงอย jà-ngɔɔi,/t͡ɕa˨˩.ŋɔːj˧/,Kra-Dai,conôî,Anatomy 301: Non-Human Anatomy,1,1,0,0,0,1,0,0,canôî,/ˈt͡ɕɑ.no.i/,5,13.01.21.02.06
ꞇ̃ⱴʌ,conzodo,asleep,to be asleep,asleepness,asleep,,Adjective,jamu,c,Korean 잠자다 jamjada,[t͡ɕa̠md͡ʑa̠da̠],Koreic,conzodo,Language 202: Mind & Identity,3,0,0,0,0,0,0,0,canzada,/ˈt͡ɕɑn.d͡ʒɑ.dɑ/,7,13.01.21.17.01
